AGE,EDUCATIONAL BACKGROUND,MARITAL STATUS,NUMBER OF CHILDREN,NUMBER OF YEARS BEING AN ENTREPRENEUR,I have prior experience in starting and running my own business.,I have received formal training or education in entrepreneurship.,I believe I have the necessary skills and knowledge to be a successful entrepreneur.,I have access to financial resources to start or expand my business.,I have access to business networks and mentors who can support my entrepreneurial journey.,I have faced challenges in accessing business opportunities in Sunyani.,I perceive entrepreneurship as a viable career option for women in Sunyani.,Lack of access to affordable credit and financing options.,Limited access to business training and education programs.,"Socio-cultural norms and gender biases that discourage women from starting businesses.
",Limited access to business networks and support systems.,Lack of adequate infrastructure and resources for starting a business.,Limited market opportunities and customer base for women-owned businesses.,High competition in the local market.,Desire for financial independence and self-reliance.,Passion for a particular business idea or industry.,Desire to create employment opportunities for others.,"
Lack of satisfactory employment opportunities in the job market.",Support and encouragement from family and friends.,Perceived flexibility and work-life balance of entrepreneurship.,Access to business support programs and initiatives in Sunyani.,"
Recognition and social status associated with successful entrepreneurship.",Government policies and programs that support women entrepreneurs in Sunyani,Discrimination or bias against women entrepreneurs in Sunyani,Desire for financial independence and self-reliance..1,HOW WILL YOU RATE YOUR BUSINESS SUCCESS ON A SCALE OF 10?
29.5,1,1,0,3.0,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,3,5,4,5,5,10
29.5,1,1,0,3.0,3,3,2,3,3,3,3,2,3,3,3,2,4,5,4,1,5,4,2,3,5,4,4,1,2,4
21.0,1,1,0,3.0,5,2,5,3,2,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,3,4,3,5
21.0,1,2,0,3.0,1,2,1,2,1,3,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,4
21.0,2,1,0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
60.0,1,2,4,3.0,2,1,5,1,1,5,5,5,5,1,5,5,1,5,3,5,5,1,5,5,5,5,5,5,5,10
29.5,1,1,1,3.0,3,3,3,4,4,1,5,5,5,5,5,4,4,5,5,5,5,3,5,4,5,3,4,1,5,10
29.5,1,2,2,3.0,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,5,5,1,5,5,1,5,5,1,1,3
29.5,1,2,2,7.5,4,4,5,3,5,2,3,2,2,1,1,2,2,4,5,5,5,3,3,3,4,3,3,1,2,3
29.5,3,1,0,3.0,1,1,2,2,1,3,2,2,3,3,2,1,1,3,3,2,3,3,5,2,2,2,3,3,4,5
21.0,1,1,0,3.0,1,1,2,1,1,2,3,1,2,1,1,1,1,1,5,5,5,1,5,5,5,5,5,3,5,9
21.0,1,1,0,3.0,4,3,4,3,3,5,2,2,3,3,1,3,4,5,5,4,3,3,2,3,2,2,4,2,5,9
29.5,3,1,0,3.0,2,2,2,2,1,1,5,5,1,5,5,5,5,5,1,5,5,5,2,5,1,1,1,5,5,8
29.5,1,1,0,3.0,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3
21.0,1,1,0,3.0,1,1,5,2,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,8
49.5,2,2,4,3.0,4,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,4,4,4,3,5,4,5,3,5,8
21.0,1,1,1,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,4
29.5,1,2,1,3.0,3,3,5,4,5,3,5,4,4,4,4,4,4,3,4,5,5,3,5,5,4,5,4,5,5,8
29.5,1,2,1,3.0,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,9
29.5,1,2,1,3.0,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,8
29.5,2,2,2,7.5,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,5
29.5,3,1,0,3.0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
21.0,3,1,0,3.0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8
21.0,3,1,0,3.0,4,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,5,4,3,3,3,2,6
29.5,2,1,0,3.0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,5,9
39.5,1,2,1,3.0,2,2,2,3,3,2,2,3,2,1,2,2,3,2,2,2,2,3,2,2,2,2,1,3,2,5
39.5,1,2,2,3.0,3,3,3,2,3,4,4,4,2,3,3,4,3,2,4,4,3,4,3,3,3,4,3,3,4,8
21.0,1,1,0,3.0,4,3,5,2,5,4,5,4,4,4,4,4,4,2,5,5,5,4,5,4,3,3,3,3,5,10
21.0,1,1,0,3.0,5,5,5,2,5,2,3,4,3,3,3,3,3,3,5,5,5,3,5,5,3,3,3,3,3,7
29.5,1,1,0,3.0,4,3,4,3,3,4,4,3,3,1,3,3,2,4,4,3,3,3,3,3,1,3,1,1,4,7
29.5,1,1,0,3.0,4,1,5,2,4,1,5,5,5,2,4,1,1,2,5,5,5,1,4,3,2,3,2,1,5,9
29.5,1,1,0,3.0,1,3,1,1,1,1,1,1,1,1,1,3,3,3,5,4,5,5,3,3,3,3,3,3,5,9
21.0,2,1,0,7.5,5,5,5,5,5,4,5,5,5,3,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,9
29.5,1,1,0,3.0,5,4,5,3,2,4,4,5,5,4,4,4,4,5,5,5,3,5,3,5,3,2,4,5,5,9
29.5,1,2,1,3.0,3,5,5,5,5,3,5,2,3,3,3,3,3,4,5,5,4,4,5,5,5,5,4,4,4,8
29.5,1,2,1,3.0,4,5,5,5,5,3,5,3,4,3,3,3,3,3,5,5,5,4,5,5,5,5,5,4,5,9
29.5,1,2,1,3.0,4,5,5,5,5,3,4,4,4,4,4,3,3,4,5,4,4,4,5,5,5,5,5,5,5,9
29.5,1,2,1,21.0,5,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,9
29.5,1,2,1,17.5,5,5,4,4,5,4,4,3,5,5,3,2,4,4,4,5,4,4,5,5,3,5,4,3,4,9
29.5,1,2,1,12.5,5,5,4,4,4,4,4,3,3,4,4,4,5,4,5,5,5,3,5,4,3,5,5,3,5,10
29.5,1,2,1,17.5,5,5,5,5,5,5,5,3,3,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,10
29.5,1,2,2,21.0,5,4,5,3,5,5,5,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,10
29.5,1,2,3,7.5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,3,5,5,5,5,4,4,5,10
29.5,1,2,3,7.5,5,5,5,4,5,5,5,5,4,5,4,4,5,4,5,4,5,4,5,5,5,5,5,4,1,10
29.5,1,2,1,12.5,5,5,5,5,3,3,2,4,3,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,10
29.5,1,2,3,7.5,5,5,5,4,5,5,5,2,3,4,4,5,4,4,5,5,5,4,5,5,5,5,3,5,5,10
29.5,1,2,3,12.5,4,4,5,3,4,3,5,4,4,3,4,4,4,4,5,5,5,4,5,5,5,5,4,4,5,10
29.5,1,2,3,12.5,5,5,4,5,5,4,4,5,5,4,4,3,3,5,5,5,5,5,5,5,4,4,4,4,4,9
29.5,1,2,3,17.5,5,4,5,4,5,4,5,4,4,4,4,3,2,4,5,5,5,5,4,4,4,4,4,5,5,9
29.5,3,1,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8
21.0,1,1,0,3.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5
29.5,2,2,2,7.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1
39.5,4,2,3,7.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
49.5,4,3,4,12.5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,5,5,1,5,5,5,1,5,5,9
29.5,3,1,0,3.0,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,7
21.0,1,1,1,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29.5,3,2,2,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
60.0,1,2,3,17.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
21.0,2,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
21.0,2,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
60.0,1,2,4,21.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
21.0,1,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
29.5,3,2,1,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
21.0,2,1,0,7.5,4,4,5,3,3,3,3,3,4,4,4,3,4,4,1,3,3,4,5,4,4,4,5,3,4,8
29.5,4,1,0,12.5,2,4,4,3,3,4,3,4,5,4,4,3,3,3,1,2,2,4,4,4,4,4,4,4,4,8
49.5,5,2,2,12.5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,2,4,4,4,4,4,3,4,4,4,5,9
39.5,1,3,3,17.5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
29.5,2,4,4,17.5,4,5,4,3,5,5,5,4,3,5,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,7
29.5,1,2,1,7.5,3,5,5,5,5,5,5,4,4,3,4,3,4,4,5,4,5,4,5,5,5,5,5,4,5,9
29.5,1,2,2,7.5,5,5,4,5,4,4,4,5,5,3,5,4,5,5,4,5,4,4,4,4,4,4,3,4,4,10
39.5,1,2,3,17.5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,10
39.5,1,2,3,17.5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,10
39.5,1,2,3,17.5,4,4,4,4,4,4,4,1,4,4,4,3,5,5,3,3,3,3,4,5,5,5,5,4,5,10
39.5,1,2,3,17.5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,3,5,10
39.5,1,2,4,17.5,5,2,5,5,4,5,5,5,5,3,4,5,4,5,5,5,4,4,5,5,5,4,5,5,5,10
29.5,1,2,2,7.5,4,3,3,5,5,5,5,5,3,4,5,3,4,4,5,5,5,4,5,4,5,5,4,5,5,9
29.5,1,2,2,7.5,4,4,4,5,4,5,3,3,5,3,4,4,4,4,4,5,3,4,3,5,5,4,5,5,4,10
29.5,1,2,2,12.5,4,4,4,4,3,4,4,5,5,4,4,3,4,4,4,4,5,4,5,5,4,2,3,5,5,10
29.5,1,2,3,12.5,1,3,3,4,5,2,3,4,4,4,4,3,4,5,5,5,5,4,5,4,5,4,5,5,4,10
29.5,1,2,2,17.5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,5,3,4,4,4,4,10
29.5,1,2,2,12.5,3,3,4,3,3,4,4,3,3,3,2,4,3,2,3,4,4,4,4,4,5,3,3,3,5,7
29.5,1,2,2,7.5,4,5,4,4,3,3,3,3,4,4,4,3,4,4,2,4,2,2,4,4,4,5,4,4,4,9
29.5,1,2,2,12.5,4,4,4,5,5,1,2,5,3,4,4,3,5,4,4,5,5,3,3,3,3,4,4,4,4,9
29.5,1,2,2,12.5,5,5,3,4,2,4,4,4,4,4,3,5,4,5,4,5,4,4,4,4,3,5,4,5,5,10
29.5,1,2,1,7.5,4,4,5,5,3,3,4,5,3,3,3,5,3,4,4,4,3,4,5,3,5,5,5,4,5,7
29.5,1,2,2,7.5,3,3,2,4,3,4,3,3,5,2,3,3,4,2,5,5,2,5,4,3,3,4,5,3,5,6
29.5,1,2,3,12.5,3,4,4,5,3,5,4,3,4,3,3,3,4,5,1,3,3,4,5,4,3,4,3,4,4,7
29.5,1,2,3,17.5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,3,4,4,3,4,4,3,4,4,4,10
29.5,1,2,3,17.5,3,2,3,4,5,4,3,4,4,5,4,2,4,4,5,2,1,4,4,3,3,5,4,5,4,10
29.5,1,2,2,12.5,3,3,5,4,4,3,3,5,5,4,5,5,1,4,5,4,3,3,1,4,3,4,5,4,4,9
29.5,1,2,2,12.5,3,3,3,3,2,4,4,3,3,4,4,4,4,5,4,5,4,3,5,4,3,4,5,4,4,9
29.5,1,2,3,17.5,5,4,5,5,3,4,5,3,5,4,4,4,5,4,4,5,5,3,5,3,5,5,4,3,4,10
29.5,1,2,2,12.5,3,3,3,2,3,4,4,3,4,3,5,4,2,3,2,2,3,3,2,3,5,2,4,4,3,10
29.5,1,2,2,7.5,4,3,2,5,5,2,5,5,3,3,2,5,4,5,4,5,4,4,4,4,4,4,5,4,3,4
21.0,3,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
21.0,1,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
29.5,3,2,1,7.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
39.5,1,2,2,12.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
49.5,1,2,4,12.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
60.0,1,2,4,21.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
21.0,3,1,0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
49.5,1,2,2,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29.5,1,2,2,7.5,3,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,3,3,4,3,4,3,4,5,10
29.5,1,2,2,7.5,3,3,3,5,3,4,4,3,4,4,4,4,5,4,5,2,3,4,4,4,4,4,2,4,4,10
29.5,1,2,2,7.5,4,2,5,3,3,2,3,3,5,4,3,3,5,4,4,4,4,3,4,3,4,3,3,4,5,10
29.5,1,2,2,7.5,4,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,2,3,3,4,3,10
29.5,1,2,2,7.5,2,3,3,4,4,4,4,4,4,5,4,4,5,4,5,3,5,2,3,4,3,3,3,3,3,10
29.5,1,2,2,17.5,3,2,4,1,4,2,2,4,2,4,5,4,4,4,4,4,3,4,4,3,3,4,3,4,3,10
29.5,1,2,3,17.5,5,3,3,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,10
39.5,1,2,3,17.5,4,4,3,4,4,4,4,3,4,3,3,4,4,4,3,3,4,5,4,4,4,4,4,5,4,10
49.5,1,2,3,17.5,4,3,3,4,3,4,4,5,5,4,4,4,3,4,1,4,3,4,5,4,4,4,4,4,3,10
49.5,1,2,3,17.5,4,3,4,4,3,4,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,10
49.5,1,2,3,12.5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,10
39.5,1,2,2,17.5,5,5,4,3,4,4,3,2,2,2,3,4,4,4,4,3,4,4,5,3,4,4,4,4,4,10
29.5,1,2,2,12.5,5,3,5,2,2,5,4,4,1,4,4,4,2,4,4,3,1,4,3,5,4,4,1,4,3,10
39.5,1,2,4,12.5,3,1,2,3,5,4,4,4,3,3,4,2,2,4,3,3,3,3,4,3,4,3,4,4,4,3
49.5,1,2,2,12.5,4,4,4,5,3,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,8
49.5,1,2,2,21.0,3,4,5,3,4,3,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,10
39.5,1,2,2,12.5,5,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,3,7
39.5,1,2,3,17.5,3,3,2,4,4,4,3,3,2,4,4,4,5,5,4,5,4,3,4,5,4,4,4,3,4,9
